Survey_Results_Labeled_Dec
;Tweets;+;N;-;Label
Q1;"""Tucker Carlson seem to have forgotten that Russia stole Crimea from Ukraine last night!
Ric Grenell to Newsmax: Putin 'Knows Exactly Who Joe Biden Is' | https://t.co/peKKyIc3lH https://t.co/oPF6h3PJ1q via @Newsmax""";0.1;0.0;0.9;negative
Q2;"""Analysis: Would Putin get away with invading Ukraine again?
https://t.co/ZMiBOpZM46 #Ukraine""";0.0;0.4;0.6;negative
Q3;"""Kiev, Ukraine - Ukrainian defense officials say #Russia has increased troop numbers near the #Ukrainian border to 120,000 people, including additional army, air force and naval personnel.
https://t.co/rqBX1fS4nL""";0.0;0.8;0.2;neutral
Q4;Russia-Ukraine tensions: why Russia is putting tens of thousands of troops on the Ukraine border - Vox https://t.co/Dsk5eyMBW4;0.0;0.5;0.5;neutral
Q5;@ManMadeMoon I don’t think it’s that deep. I think, because he lost Ukraine once under his rule, he’s always going to try to get it back. It was a major embarrassment to someone who watched the breakup of the USSR from Berlin. It’s all about ego and old wounds. Mommy issues with Mother Russia;0.1;0.0;0.9;negative
Q6;@redsteeze Is he selling the Ukraine to Russia for a commission?;0.0;0.2;0.8;negative
Q7;"""Russia positions more forces, supply lines as fears rise of potential Ukraine invasion
https://t.co/6XVi37PXWL""";0.0;0.6;0.4;neutral
Q8;U.S. Intelligence Sees Russian Plan for Possible Ukraine Invasion https://t.co/cZ8yksDJaZ;0.1;0.6;0.3;neutral
Q9;President Joe Biden threatened to strike Russia with crushing economic sanctions if it moves to invade Ukraine.;0.2;0.5;0.3;neutral
Q10;"""Look who was Putin's puppet all along?
""Administration officials have suggested that the US will press Ukraine to formally cede a measure of autonomy to eastern Ukrainian lands now controlled by Russia-backed separatists who rose up against Kyiv in 2014.""
https://t.co/hlNbLlcpQ2""";0.1;0.3;0.6;negative
Q11;"In the comments: ""Wasn't Biden Obama's ""point man"" on Ukraine when Russia invaded last time? Does Biden have more mojo now?""";0.2;0.3;0.5;negative
Q12;East Bloc Biden Will Fail to Rise to the Challenge of Russia Threatening Ukraine #styxfeed https://t.co/AvZv3LBBYN;0.0;0.2;0.8;negative
Q13;"""@john_sipher They took up arms for a reason. Tyranny of the majority is the ugly side of Democracy. 

How well has it worked out for Ukraine? Millions out of work who used to build high tech products for incorporation into Russian systems. Farmers going broke. Russia has replaced them all.""";0.0;0.0;1.0;negative
Q14;"""The U.S. has provided $2.5 billion in military aid to Ukraine since 2014.

Military aid stokes the false idea in Kyiv that the U.S. would fight to protect Ukraine from Russia.

The U.S. has no interest in Ukraine that warrants risking war with Russia. https://t.co/D29OQjhEpp https://t.co/pZXmTXqiwD""";0.0;0.6;0.4;neutral
Q15;Ukraine marks army day with U.S. hardware and vow to fight off Russia - Reuters https://t.co/s1uNXNoJVy;0.2;0.7;0.1;neutral
Q16;"""#US Officials say that the United States will send troops to eastern #Europe and reinforce #NATO's eastern flank if #Russia invades the #Ukraine as well as impose economic measures.

Read More:
https://t.co/kJcwszrihl""";0.3;0.6;0.1;neutral
Q17;"""@CyrusShares I see your point. Ukrainians are a nation unto themselves that want self-determination. A worthy goal, to be sure.

BUT, strategically, what do *WE* gain by extending NATO/EU membership to Ukraine? Answer: a China+Russia axis that could easily wind up in a two-theatre world war..""";0.0;0.2;0.8;negative
Q18;@LibertyLynx Why, historically, and present, is Russia obsessed with Ukraine?;0.1;0.6;0.3;neutral
Q19;@RattanArmor @TheyCantDoThat @cnnbrk Taking the Ukraine which is a vital buffer between Russia and Central Europe. When russia takes it, the red spread continues and between russia and China about to take Taiwan and preparing a military base in the Atlantic via Africa. We have no position, we are at their mercy.;0.0;0.1;0.9;negative
Q20;"""If you read one thing on Russian military build-up near Ukraine, read this by @Danylyuk. Clear-eyed analysis of Russian actions thru lens of “escalate to deescalate” doctrine & what “strategic deterrence” means to the Kremlin

Via @MilitaryTimes /1

https://t.co/sUDfetTEGP""";0.0;0.9;0.1;neutral
Q21;@AndrewGalito @RT_com Everything has context. The Cuban missile crisis was during a time when America and Russia were close to all out war.  Ukraine and NATO are not close to invading Russia. Your argument is flawed.;0.1;0.5;0.4;neutral
Q22;@tillerbagel Yes. I don’t support nukes to Russia or anything, but Ukraine getting annexed by Russia would be horrible politically;0.3;0.1;0.6;negative
Q23;Russia may invade the Ukraine. USA may retaliate with sanctions. Putin must be scared 🤔 #C4News;0.3;0.0;0.7;negative
Q24;Russia, Ukraine Shut Down Several Cryptocurrency Farms – Mining Bitcoin News https://t.co/lNdnzei0bY;0.0;0.6;0.4;neutral
Q25;Our country is so weak under this administration! Imagine if President Reagan or President Trump were in office right now. There would be zero chance that Russia would be getting away with a buildup on Ukraine's border. And it's all because of Nordstrom 2! Europe is screwed!;0.1;0.1;0.8;negative
Q26;"""Biden-Putin square off for 2 hours as Ukraine tensions mount | AP News
https://t.co/9bXVdskSQ0

#ukraine #russia #uspolitics #vladimirputin #news""";0.0;0.8;0.2;neutral
Q27;US says it will send troops to eastern Europe if Russia invades Ukraine | US foreign policy https://t.co/F67Ophgieu https://t.co/VSZRAlIO5K;0.2;0.6;0.2;neutral
Q28;Explainer: What’s at the centre of the Russia-Ukraine tensions? – National https://t.co/6r9zTHmqOT;0.0;1.0;0.0;neutral
Q29;"""@FinancialTimes Russia doesn't need to attack Ukraine. Just wait for its bankruptcy.
Long time management. Patience.
What the westerners and the USA don't know how to do...""";0.1;0.4;0.5;negative
Q30;Biden is in a high-stakes game of telephone diplomacy between Ukraine and Russia https://t.co/vofdl6uXcC;0.3;0.6;0.1;neutral
Q31;@AP_Europe @AP Zelensky should go back to his comedy world. Otherwise, with his absurd comments he will send #Ukraine down the drain. #Russia;0.2;0.0;0.8;negative
Q32;American intelligence officials have found Russian planning is underway for a possible military offensive that could begin as soon as early 2022. https://t.co/39CWmOrTK7;0.1;0.7;0.2;neutral
Q33;"Cruz blocked another State Dept nominee to protest Biden admin's stance on Russia's NS2 gas pipeline, Rufus Gilford for chief of protocol. Cruz said Biden could ""stop"" a possible Russian invasion of Ukraine if he sanctioned the pipeline.";0.4;0.5;0.1;neutral
Control;@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!;0.0;0.0;1.0;negative
Q34;@edwardlucas Putin is no different to the other tyrants who have reigned over the benighted land of Russia. Like that other monster Stalin, he regards the lives of the Russian people as expendable, worthless, so thousands can die when he invades Ukraine. He just does not care.;0.0;0.1;0.9;negative
Q35;"""What’s stopping #Russia from invasion?
#Putin’s plan, I suspect, was rather annexation of #Donbas. If it wasn’t before; invading the whole territory of #Ukraine is sure to be being considered now. #Biden has effectively given it a green light.🤦🏻 https://t.co/XXDO3KATRH""";0.0;0.1;0.9;negative
Q36;New story on NPR: Biden voices deep concern to Putin over Russian military build up near Ukraine https://t.co/X75RadhBQe;0.0;0.7;0.3;neutral
Q37;This week international releases happening for Spencer in Russia, Ukraine, & Iceland. 12/9 & 12/10 #spencer;0.0;1.0;0.0;neutral
Q38;@Timcast @DonaldJTrumpJr Russia had troops at the Ukraine border the entire time Trump was president, as they do now. If they invade, Putin knows Biden and the U.S. will respond. The difference is, Putin knows Biden will not quickly use atomic weapons like Trump would have.;0.3;0.3;0.4;negative
Q39;6. Big Guv is more concerned in getting reelected and growing more wealthy as it starts new wars. The latest may be against Russia. Yes, Big Guv wants to use US Troops and even threaten global nuclear war in order to protect the borders of Ukraine.;0.0;0.2;0.8;negative
Q40;@SamScottOT @MaxAbrahms It's not about Ukraine, it's about never ending NATO aggressive expansion against Russia.;0.1;0.3;0.6;negative
Q41;"""I love this lecture that you're giving me, Ken, a person who's spent years writing about the Ukraine-Russia conflict — and has analyzed the trolling and the other propaganda measures.

Bravo. You win the Random Obnoxious Weirdo Award for December 9, 2021 🏆 https://t.co/GFs9RnrNkT""";0.5;0.0;0.5;negative
