Survey_Results_Labeled_Feb
;Tweets;+;N;-;Label
Q1;"""Human rights groups have raised alarm over what they describe as increasing censorship campaigns, following Russia's invasion of Ukraine. It's claimed Moscow has threatened independent media outlets reporting on the war.

WATCH: https://t.co/69zHn5fiPU

#Newzroom405 https://t.co/YeYs6WvKqf""";0.0;0.7;0.3;neutral
Q2;@KingJames You have been awfully and painfully quiet about this whole Russia and Ukraine issue. I don’t know what side you’re on, but I’m just gonna assume that you’re with them.;0.0;0.0;1.0;negative
Q3;"""@PrillLee @MarthaP29033882 @DanRather It is nothing like California rising up against the US. 
Ukraine has never been a component state of Russia, and hasn't been subservient to them since the collapse of the Soviet Union. 
This is like the US invading Mexico because we don't like them letting migrants through.""";0.0;0.3;0.7;negative
Q4;"@AntoineSallesP @JoshuaHabib4 @JLMelenchon Why the Ukraine Crisis Is the West’s Fault"" John J. Mearsheimer, 2014 ""Putin’s pushback should have come as no surprise. After all, the West had been moving into Russia’s backyard and threatening its core""";0.3;0.5;0.2;neutral
Q5;"@IAmMrKobayashi World War III; Full video, How Russia Begins Invasion! Heavy Clashes in Eastern Ukraine, https://t.co/QUMAW8GJ5M https://t.co/4ksYG7IOdZ";0.2;0.7;0.1;neutral
Q6;"@BurggrabenH #sauce?? - with friends like China and India, i think #Russia will be just fine; diplomacy and negotiation failed #Ukraine here, as did #Zelensky's ill fated beleif in the support #NATO and the #USA he could count on... the #BudapestMemorandum wasn't worth shit; abject betrayal!";0.2;0.1;0.7;negative
Q7;@johnpavlovitz No doubt he would be ordering US troops to fight with Russia against Ukraine.;0.1;0.6;0.3;neutral
Q8;@POTUS Joe Biden did that 👉 Dow futures tumble 260 points as Russia bears down on Ukraine capital, oil hits 7-year high;0.0;0.5;0.5;neutral
Q9;"""Hats off Ukraine. 🥺
#Ukraine #Russia #VolodymyrZelensky""";0.7;0.1;0.2;positive
Q10;"""#IStandWithUkraine

Ukraine's ambassador to the US urges American businesses not to cooperate with Russia and called for increased sanctions amid attacks
https://t.co/sjaksKAVSt""";0.3;0.4;0.3;neutral
Q11;@ConceptualJames I know 2+2=4, James. And Ukraine is attacked by Russia. Doesn't take a genius to figure that one out.;0.0;0.4;0.6;negative
Q12;I am very disappointed in some of the students in my school. Making jokes about ukraine and Russia at any given moment...what the fuck has this come to? Why are people joking about it? It shouldn't be joked about...the students here are ignorant rats I swear 🙄;0.1;0.1;0.8;negative
Q13;@ng_ukraine They provoke Muslims and then ask them to support your cause, Kadyrov's gang is a terrorist, not real Muslims. Go with them to the hell of Russia.;0.0;0.0;1.0;negative
Q14;@thepublicnews24 @ZelenskyyUa @KremlinRussia_E @GovernmentRF Russia is doing right on Ukraine , india is with russia 🇮🇳🇷🇺❤️❤️;0.9;0.0;0.1;positive
Q15;@Ukraine #IPCC ban all athletes from Russia & Belarus from the Winter Games, the decision you've taken is very wrong.;0.0;0.0;1.0;negative
Q16;"@rkapuaala @thehill If Russia wanted to take Ukraine, and Trump would ""let them"", why the hell didn't they for 4 years after they took Crimea?";0.1;0.1;0.8;negative
Q17;Russia’s invasion of Ukraine and bombardment of cities across the country has sent people fleeing for safety, and concerns are growing for civilians as a larger humanitarian crisis could unfold https://t.co/KBmlWoNp5w;0.1;0.6;0.3;neutral
Q18;Under Obama Putin took The Crimea. Under Biden Putin has invaded The Ukraine. Not coincidental at all. Trump issued an ominous warning about this to other western European leaders about a reliance on Russia. #Sunday;0.1;0.5;0.4;neutral
Q19;"""@MonarchieBe @TomNaegels ❗️STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.2;0.8;negative
Q20;As the war in Ukraine continues, we are hearing the story of a woman who is 39 weeks pregnant and hiding in bomb shelter. https://t.co/HLAqPrKDY4 https://t.co/s9Y0oI8bR9;0.0;0.8;0.2;neutral
Q21;Did Putin get it wrong? War in Ukraine is not going as Russian president had hoped https://t.co/IXeqibGa9A #russia #ukraine;0.2;0.8;0.0;neutral
Q22;Russia 'extremely likely' to default on debts if Ukraine crisis worsens - IIF https://t.co/IocvYjpCl1;0.0;1.0;0.0;neutral
Q23;@JwEdwardsjr1 Russia unprovoked, sent artillery and small special forces into neighboring Ukraine. For Putin, not Russia! Ukraine wants in to NATO to have backup for shit like what’s going on the expansion of their land by war.;0.0;0.1;0.9;negative
Q24;@Superfind @FrancoScott_ @Camz99 @georgemunro_cam Yes. But if Ukraine were in NATO, and therefore protected by the nuclear weapons of US, France and UK or still had their own then Russia wouldn’t have invaded.;0.1;0.8;0.1;neutral
